control_ref,requirement_family,control_title,basic_applicability,significant_applicability,high_applicability,explanation,implementation_steps,legacy_41_2015_ref,iso_27001_ref,nist_sp_800_53_rev5_ref,parameters,related_controls,source_ref,source_sheet,source_row_start,source_row_end,source_confidence,human_review_status,reviewer,reviewed_at,notes
3.12,3,Szerepkör alapú biztonsági képzés – Gyakorlati feladatok,-,-,-,"A szerepköralapú biztonságtudatossági képzés gyakorlati feladatai közé tartozik a szoftverfejlesztőknek szóló képzés, amely olyan támadásokat szimulál, melyek során a szoftverek gyakran előforduló sérülékenységeit használják ki. Szintén a gyakorlati feladatok közé sorolható, mikor a a vezetőket vagy felsővezetőket veszik célba célzott adathalász szimulációs támadásokkal (spear/whale phishing).","1. A szervezetnek gyakorlati feladatokkal kell kiegészítenie a biztonságtudatossági képzést pl.: szoftverfejlesztőknek szóló képzés, amely során szoftverek gyakran előforduló sérülékenységeit használják ki, illetve adathalász kampány szimulálása vezetők vagy felsővezetők számára.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,AT-3(3),Nincs meghatározandó paraméter.,Nincs kapcsolódó követelménypont!,SRC-009,3,43,44,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
3.13,3,A biztonsági képzésre vonatkozó dokumentációk,X,X,X,"A szervezet dokumentálja és nyomon követi az általános- és a szerepkör alapú biztonságtudatossági képzéseket. A dokumentálás magában foglalhatja magát a képzési anyagot, illetve a képzés lebonyolításával kapcsolatos egyéb dokumentációkat is pl.: jelenléti ívek használata, automatikusan generált részvételi igazolás. A szervezet a vonatkozó hatályos jogszabályokat, irányelveket, szabályozásokat, szabványokat és ajánlásokat figyelembe véve meghatározott ideig megőrzi a képzésről készült dokumentumokat.

Az érintett szervezet dokumentálja és nyomon követi az információbiztonsági képzési tevékenységeket. Az érintett szervezet számára fontos, hogy a képzési tevékenységek dokumentálása és nyomon követése segítse a szervezetet abban, hogy biztosítsa a személyzet megfelelő képzését és felkészültségét az információbiztonsági kihívások kezelésére.
A dokumentáció megőrzése lehetővé teszi az érintett szervezet számára, hogy bizonyítékot szolgáltasson a képzési tevékenységekről, és hogy értékelje a képzési programok hatékonyságát.
Az érintett szervezet meghatározott ideig megőrzi a képzésről készült dokumentumokat. A megőrzés időtartama a szervezet belső szabályaitól és a vonatkozó jogszabályi követelményektől függ.
Az érintett szervezet a képzési tevékenységek dokumentálásának és nyomon követésének hatékonyabbá tételére EIR-t vehet igénybe, ami lehetővé teszi a képzési tevékenységek adatainak centralizált tárolását és könnyű hozzáférhetőségét, illetve az anyagokkal kapcsolatos tevékenységek nyomon követését.","1. A szervezetnek dokumentálnia kell és egyúttal nyomon kell követnie az általános- és a szerepkör alapú biztonságtudatossági képzéseket. A dokumentálás magában foglalhatja magát a képzési anyagot, illetve a képzés lebonyolításával kapcsolatos egyéb dokumentációkat is pl.: jelenléti ívek használata, automatikusan generált részvételi igazolás.
2. A szervezetnek a vonatkozó hatályos jogszabályokat, irányelveket, szabályozásokat, szabványokat és ajánlásokat figyelembe véve meghatározott ideig meg kell őriznie a képzésről készült dokumentumokat.",3.1.7.6. A biztonsági képzésre vonatkozó dokumentációk,Nincs vonatkozó referencia.,AT-4,Nincs meghatározandó paraméter.,"3.2. Biztonságtudatossági képzés
3.9. Szerepkör alapú biztonsági képzés
7.10. A folyamatos működésre felkészítő képzés
9.2. Képzés a biztonsági események kezelésére
1.15. Tesztelés, képzés és felügyelet
18.67. Információ kezelése és megőrzése",SRC-009,3,45,48,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
3.14,3,Képzés eredményeiről való visszajelzés,-,-,-,"A szervezeti képzések eredményeiről adott visszajelzés magában foglalja a biztonságtudatossági- és szerepkör alapú biztonsági képzések eredményeit. A képzési eredmények potenciálisan súlyos problémát is jelezhetnek, különösen akkor, ha a kritikus szerepkörökben dolgozó munkavállalók sikertelen eredményeket produkálnak. Ezért fontos, hogy a felsővezetők tudomást szerezzenek az ilyen helyzetekről, így megfelelő válaszlépéseket tehetnek. A képzések eredményeiről adott visszajelzés támogatja a szervezeti képzés értékelését és szükség szerinti frissítését. A biztonságtudatossági képzés frisstésével kapcsolatos követelmények a ""Biztonságtudatossági képzés"" és a ""Szerepkör alapú biztonsági képzés"" kontrolloknál kerültek bővebben kifejtésre.","1. A szervezetnek be kell vezetnie egy eljárást, amely lehetővé teszi a képzési eredmények rendszeres összegyűjtését és elemzését. Ez magában foglalhatja a képzési tesztek eredményeit, illetve a résztvevők visszajelzéseit.
3. A szervezetnek meg kell határoznia, hogy hogyan és milyen formában kommunikálja a képzés eredményeit a résztvevők felé pl.: a résztvevők számára elérhető összefoglaló a szervezet intranet felületén, online képzési rendszer esetén egy rendszer által készített összefoglalás az eredményről.
4. A szervezetnek meg kell határoznia, hogy milyen lépéseket tehet meg a képzési eredmények függvényében. Ha például a képzési eredmények azt mutatják, hogy a munkavállalók nincsenek tisztában teljes mértékben a biztonsági előírásokkal és nem tudják a gyakorlatban alkalmaznia zokat, akkor a szervezetnek meg kell hoznia a szükséges intézkedéseket pl.: képzési anyagok felülvizsgálata és frissítése.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,AT-6,A követelményponthoz kapcsolódó szervezeti feladat a gyakoriság illetve a személyek meghatározása,Nincs kapcsolódó követelménypont!,SRC-009,3,49,50,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.1,4,Szabályzat és eljárásrendek,X,X,X,"A naplózást és elszámoltathatóságot magában foglaló szabályzatnak és a kapcsolódó eljárásrend(ek)nek illeszkednie kell az érintett szervezet kockázatkezelési stratégiájához. A megfelelő minőségben és megfelelő szempontok mentén elkészített szabályzatok és eljárásrendek nagy mértékben járulnak hozzá a szervezet biztonságának megőrzéséhez. Az elkészült szabályzatoknak és eljárásrendeknek összhangban kell lenniük egymással és a szervezet információbiztonsági környezetével. A szervezeti szintű biztonsági szabályzatok és eljárásrendek használata általában előnyösebb, hiszen szükségtelenné teheti a különböző szervezeti célok vagy rendszerek szintjén kialakítandó szabályzatokat és eljárásrendeket. A szervezet azonban dönthet úgy (amennyiben a szervezet felépítése ezt indokolja), hogy a szabályzati szinten megjelenő követelményeket egy általános biztonsági szabályzatban [pl.: Információbiztonsági Szabályzat (IBSZ)], vagy több szabályzatban implementálja, míg az eljárásrendek szintjén megjelenő követelményeket (melyek a szabályzatban foglalt követelményeket részletezik rendszer- és szerepköri szinten) beépítheti a rendszerbiztonsági tervébe, vagy több különböző dokumentumban jeleníti meg azokat. A szervezetnek kiemelt figyelmet kell fordítania mind a szabályzat, mind az eljárásrendek megfelelő frissítésére. A frissítéseket kiváltó események lehetnek értékelésből vagy (felül)vizsgálatból eredő megállapítások, biztonsági események vagy változások a hatályos jogszabályokban, irányelvekben, szabályozásokban, szabványokban és ajánlásokban. A szervezetnek szem előtt kell tartania, hogy az elvárt védelmi intézkedések egyszerű újraközlése nem minősülhet szervezeti szabályzatnak vagy eljárásrendnek.","1. A szervezetnek gondoskodnia kell a naplózást és elszámoltathatóságot magában foglaló szabályzat és eljárásrendek kidolgozásával, dokumentálásával, jóváhagyásával, kiadásával és megismertetésével kapcsolatos feladatok ellátásáról.
2. A szervezetnek meg kell bizonyosodnia arról, hogy a naplózást és elszámoltathatóságot magában foglaló szabályzatban foglaltak megfelelnek a szervezetre vonatkozó hatályos jogszabályoknak, irányelveknek, szabályozásoknak, szabványoknak és ajánlásoknak.
3. A szervezetnek - a megfelelő szereplők bevonásával, dokumentált módon - ki kell dolgoznia a vonatkozó szabályzatot és a kapcsolódó eljárásrendeket, és gondoskodnia kell a szabályzat és az eljárásrendek megfelelő kihirdetéséről, valamint az érintett felekkel történő megismertetéséről.
4. A szabályzat és a kapcsolódó eljárásrendek kidolgozásánál a szervezetnek figyelembe kell vennie a rá vonatkozó sajátosságokat. Az elvárt védelmi intézkedések szó szerinti átvétele nem minősül szervezeti szabályzatnak vagy eljárásrendnek.
5. A szervezetnek a gyakorlatban is alkalmaznia kell a naplózást és elszámoltathatóságot magában foglaló szabályzatban és az ahhoz kapcsolódó eljárásrendekben megfogalmazott elvárásokat, ezáltal biztosítva azok tényleges megvalósulását.
6. A szervezetnek felül kell vizsgálnia és szükség esetén frissítenie kell az aktuális naplózást és elszámoltathatóságot magában foglaló szabályzatot/szabályokat, illetve a kapcsolódó eljárásrendeket a szervezet által meghatározott gyakorisággal, valamint a szervezet által meghatározott események bekövetkezését követően.",3.3.12.1. Naplózási eljárásrend,5.2; 5.3; 7.5.1; 7.5.2; 7.5.3; A.5.1; A.5.2; A.5.4; A.5.31; A.5.36; A.5.37,AU-1,Nincs meghatározandó paraméter.,"1.10. Kockázatkezelési stratégia
14.12. Fegyelmi intézkedések
18.67. Információ kezelése és megőrzése",SRC-009,4,2,10,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.2,4,Naplózható események,X,X,X,"Azok az eseménytípusok igényelnek naplózást az EIR-ben, amelyek jelentősek és relevánsak az EIR biztonsága szempontjából. Az események naplózása támogatja a specifikus monitorozási és naplózási igényeket is. A naplózandó eseménytípusok közé tartoznak pl. a jelszóváltozások, a sikeres vagy sikertelen bejelentkezési kísérletek, a biztonsági funkciókhoz kapcsolódó sikertelen hozzáférések, a privilegizált jogosultságok használata, a hitelesítő adatok használata, az adatműveletek változásai, illetve a bizalmas adatokhoz kapcsolódó lekérdezések.
Az események naplózásának követelményei, beleértve a specifikus eseménytípusok naplózásának szükségességét, számos más védelmi intézkedés kapcsán megjelennek. A naplóbejegyzések különböző szinteken generálhatók, beleértve a csomagszintet is, ahogy az információ áthalad a hálózaton. Az eseménynaplózás megfelelő szintjének kiválasztása fontos része a monitorozási és naplózási képességnek, és segíthet azonosítani a problémák gyökérokait. Az egyes naplózandó események a szervezet igényei alapján idővel változhatnak. Például a szervezet meghatározza, hogy az EIR-nek képesnek kell lennie naplózni minden sikeres és sikertelen fájlhozzáférést, azonban ezt a funkciót nem kapcsolja be a szervezet, mivel negatívan hatna az EIR teljesítményére. Ezért fontos, hogy a szervezet időről-időre felülvizsgálja és szükség esetén frissítse a naplózandó eseményeket annak érdekében, hogy azok továbbra is relevánsak legyenek és támogassák a szervezeti igények megvalósulását. A naplózandó és naplózható eseményekkel kapcsolatos biztonsági követelmények a ""Fiókkezelés – Automatikus naplózási műveletek"", a ""Hozzáférési szabályok érvényesítése – Hozzáférés-ellenőrző mechanizmusok ellenőrzött felülbírálata"", a ""Legkisebb jogosultság elve – Privilegizált funkciók használatának naplózása"", a ""Távoli hozzáférés – Felügyelet és irányítás"", a ""A konfigurációváltozások felügyelete (változáskezelés)"", a ""A változtatásokra vonatkozó hozzáférés korlátozások – Automatizált hozzáférés-érvényesítés és naplóbejegyzések"", az ""Eszközök azonosítása és hitelesítése – Dinamikus címkiosztás"", a ""Távoli karbantartás – Naplózás és felülvizsgálat"", az ""Adathordozók tárolása – Automatizált korlátozott hozzáférés"", a ""A fizikai belépés ellenőrzése"", a ""A határok védelme – Hálózati privilegizált hozzáférések"", a ""Kártékony kódok elleni védelem – Jogosulatlan parancsok észlelése"", a ""Az EIR monitorozása – Engedély nélküli hálózati szolgáltatások"", a ""Szoftver- és információsértetlenség – Naplózás és riasztás"", a ""Bemeneti információ ellenőrzés – Manuális felülírási képesség"" kontrolloknál is kifejtésre kerültek.","1. A szervezetnek meg kell határoznia a naplózható és naplózandó eseményeket, és fel kell készítenie az EIR-t erre a feladatra.
2. A szervezetnek egyeztetnie kell a naplózási elvárásokat a naplózási információt igénylő szervezeti egységekkel, hogy minden szükséges információ rendelkezésre álljon a naplókban.
3. A szervezetnek meg kell határoznia az EIR-en belül naplózandó eseménytípusokat, és az azokhoz kapcsolódó gyakoriságot vagy az azt szükségessé tevő eseményeket.
4. A szervezetnek úgy kell meghatároznia a naplózandó eseményeket, hogy azok ne akadályozzák az EIR szervezeti célok eléréséhez szükséges teljesítményét.
5. A szervezetnek meghatározott gyakorisággal felül kell vizsgálnia és szükség esetén frissítenie kell a naplózásra kiválasztott eseménytípusokat.",3.3.12.2. Naplózható események,A.8.15,AU-2,Nincs meghatározandó paraméter.,"2.2. Fiókkezelés
2.15. Hozzáférés-ellenőrzés érvényesítése
2.60. Legkisebb jogosultság elve
2.71. Sikertelen bejelentkezési kísérletek
2.75.1. A rendszerhasználat jelzése
2.89. Biztonsági tulajdonságok
2.100. Távoli hozzáférés
4.3. Naplóbejegyzések tartalma
4.5. Naplózás tárkapacitása
4.7. Naplózási hiba kezelése",SRC-009,4,11,17,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.3,4,Naplóbejegyzések tartalma,X,X,X,"A naplózás funkciót támogató tartalom magában foglalhatja az esemény leírását, az időbélyegeket, forrás és cél címeket, felhasználói vagy végreható folyamat azonosítókat, a sikeres vagy sikertelen végrehajtásra vonatkozó információkat, és az érintett fájlneveket.","1. A szervezetnek biztosítania kell, hogy a naplóbejegyzések tartalmazzák az események leírását. Ez lehetővé teszi, hogy megállapíthassák, milyen típusú esemény történt.
2. A naplóbejegyzéseknek időbélyegeket is tartalmazniuk kell, amelyek segítségével meghatározható, mikor történt az esemény.
3. A szervezetnek biztosítania kell, hogy a naplóbejegyzések tartalmazzák a forrás- és célobjektumok címét. Ez lehetővé teszi, hogy megállapíthassák, az esemény forrását és célját.
4. A naplóbejegyzéseknek tartalmazniuk kell a felhasználói vagy a végrehajtói folyamat azonosítóját. Ez lehetővé teszi, annak a megállapítását, hogy az eseményt mely felhasználó vagy mely feldolgozó folyamat hajtotta végre.
5. A szervezetnek biztosítania kell, hogy a naplóbejegyzések tartalmazzák az események kimenetelét.",3.3.12.3. Naplóbejegyzések tartalma,A.5.28; A.8.15,AU-3,Nincs meghatározandó paraméter.,"4.2. Naplózható események
4.24. Időbélyegek
4.40. Naplóbejegyzések létrehozása
4.48. Munkaszakasz-ellenőrzés
10.11. Távoli karbantartás
13.9. Központi kezelés
16.16. Biztonságtervezési elvek
18.42. Szoftver- és információsértetlenség
18.66. Hibakezelés",SRC-009,4,18,25,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.4,4,Naplóbejegyzések tartalma – Kiegészítő naplóinformációk,-,X,X,"Az EIR funkcionalitásától függ, hogy a naplóbejegyzések tartalmáta a szervezet képes-e konfigurálni és így lehetséges-e az, hogy a szervezet további információkkal lássa el a naplóbejegyzéseket. A szervezet fontolóra veheti további információk hozzáadását a naplóbejegyzésekhez, beleértve, de nem kizárólag, a hozzáférés-felügyeleti vagy áramlás ellenőrzési szabályokat, amelyek érvényesítésre kerültek, és a csoportfiókok felhasználóinak egyéni azonosítóit. Megfontolandó a kiegészítő információk korlátozása csak azokra az információkra, amelyekre kifejezetten szükség van a naplózási követelmények teljesítéséhez. A túlságosan sok kiegészító információ megnehezítheti az érdeklődésre számot tartó információk megtalálását.","1. Az EIR-nek képesnek kell lennie a naplóbejegyzésekben a minimálisan elvárt információkon túl kiegészítő információk hozzáadására is. Ez az EIR naplózási funkciójának konfigurálhatóságától függ.
2. A szervezet megfontolhatja további információk hozzáadását a naplóbejegyzésekhez, beleértve, de nem kizárólag, az alkalmazott hozzáférés-felügyeleti szabályokat vagy az adatáramlási szabályokat, valamint a csoportfiókok felhasználóinak egyéni azonosítóit.
3. A szervezet megfontolhatja a kiegészítő naplóbejegyzési információ korlátozását csak azokra az információkra, amelyekre kifejezetten szükség van a naplózási követelmények teljesítéséhez. A naplóbejegyzésekben meglévő, szükségesnél több információ ronthatja a naplóelemzési tevékenység hatékonyságát.",3.3.12.3. Naplóbejegyzések tartalma,Nincs vonatkozó referencia.,AU-3(1),A követelményponthoz kapcsolódó szervezeti feladat a kiegészítő információ meghatározása,Nincs kapcsolódó követelménypont!,SRC-009,4,26,27,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.5,4,Naplózás tárkapacitása,X,X,X,"Az érintett szervezet figyelembe veszi a naplózási típusokat és a naplófeldolgozási követelményeket, amikor a naplók számára fenntartott tárhelykapacitást meghatározza. Elegendő tárkapacitás biztosítása a naplóbejegyzések számára csökkenti annak valószínűségét, hogy a nem megfelelő kapacitás a naplózási képesség elvesztését vagy csökkenését eredményezheti.

A szervezetnek biztosítania kell, hogy az EIR rendelkezzen elegendő tárhellyel a naplózáshoz, figyelembe véve az elvárt naplózási funkciókat és a meghatározott megőrzési követelményeket is. Ez azt jelenti, hogy az EIR-nek képesnek kell lennie arra, hogy kezelje és tárolja az összes naplóbejegyzést, amelyeket a szervezet naplózási szabályzata előír, és teljesíti a szabályozói előírásokat is.","1. A szervezetnek elegendő tárkapacitást kell biztosítania a naplózásra, figyelembe véve a meghatározott naplózási típusokat, illetve funkciókat, valamint a meghatározott megőrzési- és naplófeldolgozási követelményeket.
2. A szervezetnek rendszeresen ellenőriznie kell a naplózásra fenntartott tárkapacitását, annak érdekében, hogy elősegítse a naplózás folyamatos működését. Az ellenőrzés során a szervezetnek meg kell bizonyosodnia arról, hogy a naplóbejegyzések által elfoglalt tárhely nem foglalja el a rendelkezésre álló tárhely adott százalékát.
3. A szervezetnek meg kell terveznie és végre kell hajtania egy naplókezelési stratégiát, amely magában foglalja a naplófájlok rendszeres archiválását és törlését, így biztosítva a tárkapacitás optimális kihasználását, ill. a megőrzési követelményeket is.","3.3.12.4. Napló tárkapacitás: Az érintett szervezet a naplózásra elegendő méretű tárkapacitást biztosít, a biztonsági osztályba sorolásból következő naplózási funkciók figyelembevételével.",A.8.6,AU-4,A követelményponthoz kapcsolódó szervezeti feladat a naplók megőrzésére vonatkozó követelmények meghatározása,"4.2. Naplózható események
4.7. Naplózási hiba kezelése
4.13. Naplóbejegyzések felülvizsgálata, elemzése és jelentéstétel
4.22. Naplóbejegyzések csökkentése és jelentéskészítés
4.25. Naplóinformációk védelme
4.38. A naplóbejegyzések megőrzése
4.40. Naplóbejegyzések létrehozása
4.48. Munkaszakasz-ellenőrzés
18.13. Az EIR monitorozása",SRC-009,4,28,29,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.6,4,Napló tárkapacitás – Naplók átvitele alternatív tárolási helyszínre,-,-,-,"A naplók átvitele, más néven a forrásrendszerből vagy rendszerelemből történő áthelyezés gyakori folyamat a korlátozott naplótárolási kapacitással rendelkező rendszerekben, amely így támogatja a naplófájlok hosszabb távú rendelkezésre állását. A kezdeti naplótárolót csak átmenetileg használják, amíg a rendszer nem tud kommunikálni a naplótárolásra kijelölt másodlagos vagy helyettesítő rendszerrel. Amikor ez megtörténik a naplók áthelyezésre kerülnek. A naplók alternatív tárolórendszerbe történő átvitele ""A naplóinformációk védelme – Tárolás fizikailag különálló rendszereken vagy rendszerelemeken"" védelmi intézkedés követelményeihez hasonlóan történik, mivel a naplókat egy másik helyre viszik át. ""A naplóinformációk védelme – Tárolás fizikailag különálló rendszereken vagy rendszerelemeken"" védelmi intézkedés alkalmazásának célja azonban a naplóbejegyzések bizalmasságának és sértetlenségének a védelme. A szervezetek választhatják a védelmi intézkedés mindkét megvalósítási módját. Tehát vagy a naplók tárolási kapacitását növelik meg, vagy a naplók és a naplóbejegyzések bizalmasságának, sértetlenségének és rendelkezésre állásának megőrzéséről gondoskodnak.","1. A szervezetnek először meg kell határoznia a naplóbejegyzések továbbításának gyakoriságát. Ez a gyakoriság függhet a rendszer leterheltségétől, a naplózott események számától és a naplózás céljától.
2. A szervezetnek ki kell választania egy különálló rendszert, rendszerelemet vagy tárolórendszert, ahova a naplóbejegyzéseket továbbítja. Ez a rendszer lehet egy másik szerver, egy felhő alapú tároló vagy egy másik, a naplózást támogató infrastruktúra.
3. A szervezetnek be kell állítania a forrásrendszert vagy rendszerelemet, hogy a meghatározott gyakorisággal továbbítsa a naplóbejegyzéseket a kiválasztott rendszerbe, rendszerelembe vagy tárolórendszerbe. Ez magában foglalhatja a naplóbejegyzések automatikus továbbításának beállítását, vagy a naplóbejegyzések manuális továbbításának ütemezését.
4. A szervezetnek biztosítania kell, hogy a naplóbejegyzések továbbítása során a naplóbejegyzések bizalmassága, sértetlensége és rendelkezésre állása megmarad. Ez magában foglalhatja a naplóbejegyzések titkosítását a továbbítás során, és a naplóbejegyzések biztonságos tárolását a cél rendszerben, rendszerelemben vagy tárolórendszerben.
5. Végül, az érintett szervezetnek rendszeresen ellenőriznie kell a naplóbejegyzések továbbításának folyamatát, hogy biztosítsa a továbbítás hatékonyságát és a naplóbejegyzések biztonságát. Ez magában foglalhatja a továbbítás gyakoriságának felülvizsgálatát, a továbbítás során felmerülő hibák nyomon követését és a naplóbejegyzések biztonságának ellenőrzését a cél rendszerben, rendszerelemben vagy tárolórendszerben.",Nincs vonatkozó referencia.,Nincs vonatkozó referencia.,AU-4(1),A követelményponthoz kapcsolódó szervezeti feladat a gyakoriság meghatározása,Nincs kapcsolódó követelménypont!,SRC-009,4,30,31,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.7,4,Naplózási hiba kezelése,X,X,X,"A naplózási hibák közé tartoznak a szoftver- és hardverhibák, a naplóbejegyzések rögzítési mechanizmusainak hibái, valamint a naplóbejegyzések tárolókapacitásának a kritikus küszöbértéket meghaladó kihasználása. Az érintett szervezet által meghatározott intézkedések közé tartozhat a legrégebbi naplóbejegyzések felülírása, az EIR leállítása és a naplóbejegyzések generálásának leállítása. A szervezet további intézkedéseket is meghatározhat a naplózási folyamat hibái esetén, a hiba típusa, helye, súlyossága vagy ezek kombinációja alapján.","1. A szervezetnek ki kell alakítania egy naplózási hibakezelő megoldást, amely képes azonosítani a naplózási tevékenységhez kapcsolódó szoftver- és hardverhibákat, vagy a naplóbejegyzések rögzítési mechanizmusának hibáit, valamint a napló tárolókapacitásra vonatkozó kritikus kihasználási szint elérését.
2. A szervezetnek meg kell határoznia a teendőket a naplózási folyamat hibái esetén. Ezek az intézkedések tartalmazhatják a legrégebbi naplóbejegyzések felülírását, az EIR leállítását, vagy a naplóbejegyzések generálásának leállítását.
3. A szervezetnek további intézkedések meghozatalára is szükség lehet a naplózási folyamat hibái esetén, figyelembe véve a hiba típusát, helyét, súlyosságát vagy ezek kombinációját.
4. A szervezetnek nyilvántartást kell vezetnie az összes riasztásról, hogy nyomon követhesse a hibaeseményeket és a válaszintézkedéseket. A nyilvántartás segíthet az érintett szervezetnek felismerni a mintázatokat, értékelni a riasztási rendszer hatékonyságát és továbbfejleszteni a biztonsági követelményeket.",3.3.12.5. Naplózási hiba kezelése,Nincs vonatkozó referencia.,AU-5,Nincs meghatározandó paraméter.,"4.2. Naplózható események
4.5. Naplózás tárkapacitása
4.22. Naplóbejegyzések csökkentése és jelentéskészítés
4.25. Naplóinformációk védelme
4.38. A naplóbejegyzések megőrzése
4.40. Naplóbejegyzések létrehozása
4.48. Munkaszakasz-ellenőrzés
18.13. Az EIR monitorozása
18.67. Információ kezelése és megőrzése",SRC-009,4,32,35,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.8,4,Naplózási hiba kezelése – Tárhelykapacitás figyelmeztetés,-,-,X,"A szervezet rendelkezhet több naplózásra fenntartott tárhellyel, melyeket több rendszerkomponens között oszt el. Az egyes tárhelyek különböző tárhelykapacitással rendelkezhetnek.
Amikor egy rendszerkomponens naplózási tárhelye eléri a maximális kapacitás egy bizonyos százalékát - amit a szervezet határoz meg - az EIR a szervezet által meghatározott időn belül értesíti a meghatározott személyeket, szerepköröket és/vagy helyszíneket. Ez annak biztosítására szolgál, hogy a szervezet értesüljön a naplózási tárhelykapacitás korlátjáról, és megtehesse a szükséges intézkedéseket annak megelőzésére, hogy az EIR naplózási funkciója tárhely hiánya miatt megszakadjon.
Az EIR maga is képes lehet a naplótárolás automatikus kezelésére, olyan stratégiák alkalmazásával, mint a naplórotáció és a naplóarchiválás, így biztosítva a naplózási funkció folyamatos működését.","1. A szervezetnek meg kell határoznia a maximális naplózási tárhely százalékos értékét, ami azt a küszöböt jelenti, amikor a naplózási tárhely elér egy bizonyos szintet. Amennyiben ez megtörténik, az EIR-nek figyelmeztetést kell küldenie a meghatározott személyeknek, szerepköröknek és/vagy helyszíneknek.
2. A szervezetnek úgy kell beállítania az EIR-t, hogy folyamatosan figyelje a naplózási tárhely aktuális kihasználtságát.
3. A szervezetnek meg kell határoznia a figyelmeztetés küldésére vonatkozó szabályokat az EIR-ben. Ez magában foglalja a figyelmeztetés küldésének időpontját, illetve az értesítendő személyeket, szerepköret és/vagy helyszíneket.
4. A szervezetnek folyamatosan követnie kell az EIR figyelmeztetéseit, hogy biztosítsa a naplózási tárhely optimális kihasználtságát és a naplózás folyamatos működését.
5. A szervezetnek nyilvántartást kell vezetnie az összes riasztásról, hogy nyomon követhesse a hibaeseményeket és a válaszintézkedéseket. A nyilvántartás segíthet az érintett szervezetnek felismerni a mintázatokat, értékelni a riasztási rendszer hatékonyságát és továbbfejleszteni a biztonsági követelményeket.",3.3.12.5. Naplózási hiba kezelése,Nincs vonatkozó referencia.,AU-5(1),"A követelményponthoz kapcsolódó szervezeti feladat a személyek, szerepek és helyszínek illetve az idő intervallum meghatározása",Nincs kapcsolódó követelménypont!,SRC-009,4,36,37,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
4.9,4,Naplózási hiba kezelése – Valós idejű riasztások,-,-,X,"A riasztások sürgős üzenetek a szervezet részére. A valós idejű riasztások az esemény detektálását követően néhány másodpercen belül vagy még annál is gyorsabban elküldik a riasztást tartalmazó üzenetet. Ezek a riasztások kritikus fontosságúak lehetnek a szervezet számára, mivel lehetővé teszik, hogy a szervezet gyorsan reagáljon a potenciálisan kártékony eseményekre, és ezáltal minimalizálni lehessen a lehetséges károkat. A valós idejű riasztások alapján a szervezet képes lehet azonosítani a gyakori hibaeseményeket, és megteheti a szükséges intézkedéseket a hasonló események megelőzésére.","1. A szervezetnek meg kell határoznia, hogy mely hibaesemények igényelnek valós idejű riasztást. Ezek olyan események, melyek jelentős kockázatot jelentenek az EIR biztonságára vagy működésére nézve.
2. Miután a szervezet meghatározta a riasztást igénylő hibaeseményeket, a szervezetnek meg kell határoznia a riasztások címzettjeit. Ezek lehetnek konkrét személyek, például a szervezet elektronikus információs rendszer biztonságáért felelős munkavállalója, vagy szerepkörök, például a rendszergazdák.
3. Az szervezetnek úgy kell beállítania az EIR-t, hogy automatikusan küldjön valós idejú riasztásokat a meghatározott hibaesemények bekövetkezése esetén.
4. A szervezetnek nyilvántartást kell vezetnie az összes riasztásról, hogy nyomon követhesse a hibaeseményeket és a válaszintézkedéseket. A nyilvántartás segíthet az érintett szervezetnek felismerni a mintázatokat, értékelni a riasztási rendszer hatékonyságát és továbbfejleszteni a biztonsági követelményeket.",3.3.12.5. Naplózási hiba kezelése,Nincs vonatkozó referencia.,AU-5(2),"A követelményponthoz kapcsolódó szervezeti feladat a valós idejű periódus illetve a személyek, szerepek és helyszínek meghatározása",Nincs kapcsolódó követelménypont!,SRC-009,4,38,39,unverified_internal,PROPOSED,,,G1 szakmai és forráseredet-review előtt referenciajavaslat; nem auditbizonyíték és nem zár le akciót.
